position,player,x,y,cluster,league,age,dominant_foot
DF,Niklas Stark,-16.958513,-5.6003633,0,Bundesliga,26,94% right footed
DF,Pascal Stenzel,-1.5330951,12.084675,3,Bundesliga,25,92% right footed
DF,Petar Stojanović,18.540573,-10.891647,2,Serie A,25,89% right footed
DF,John Stones,-12.523935,18.955359,3,Premier League,27,85% right footed
DF,Stefan Strandberg,-17.640823,10.964883,3,Serie A,31,86% right footed
DF,Pascal Struijk,-2.0532176,0.34730974,2,Premier League,21,82% left footed
DF,Damián Suárez,21.297586,-11.337235,2,La Liga,33,90% right footed
DF,Niklas Süle,-7.569591,16.179138,3,Bundesliga,25,82% right footed
DF,Bosko Sutalo,-4.103453,-2.2021444,0,Serie A,21,86% right footed
DF,Michael Svoboda,-7.3728037,1.4085124,0,Serie A,22,85% right footed
DF,Jonathan Tah,-15.538142,11.324487,3,Bundesliga,25,83% right footed
DF,Adrien Tameze,12.942296,-13.490584,2,Serie A,27,86% right footed
DF,Edmond Tapsoba,-9.392772,14.096134,3,Bundesliga,22,86% right footed
DF,Matt Targett,18.056265,1.567163,2,Premier League,25,89% left footed
DF,James Tarkowski,-18.270605,-8.178769,0,Premier League,28,84% right footed
DF,Nuno Tavares,24.065916,3.089444,1,Premier League,21,84% left footed
DF,Charlie Taylor,12.231861,3.5117803,2,Premier League,27,95% left footed
DF,Alex Telles,18.625515,-3.9859238,2,Premier League,28,93% left footed
DF,Nahuel Tenaglia,3.2853062,-9.365322,2,La Liga,25,96% right footed
DF,Arthur Theate,-2.5775433,6.2519116,3,Serie A,21,83% left footed
DF,Sada Thioub,15.239993,-2.6885874,2,Ligue 1,26,84% right footed
DF,Luke Thomas,5.2414093,-4.404603,2,Premier League,20,92% left footed
DF,Romain Thomas,-10.073445,3.4573665,3,Ligue 1,33,89% left footed
DF,Kieran Tierney,20.383448,0.75243634,1,Premier League,24,90% left footed
DF,Jean-Clair Todibo,-5.950374,9.249803,3,Ligue 1,21,93% right footed
DF,Jeremy Toljan,15.387294,4.4765177,2,Serie A,26,93% right footed
DF,Rafael Tolói,0.750274,1.159973,2,Serie A,30,90% right footed
DF,Fikayo Tomori,-2.7343314,1.6489184,0,Serie A,23,69% right footed
DF,Raúl Torrente,-8.604511,-2.2489352,0,La Liga,19,76% left footed
DF,Pau Torres,-10.764302,18.507524,3,La Liga,24,89% left footed
DF,Hamari Traoré,24.722635,-7.0426345,1,Ligue 1,29,87% right footed
DF,Ismaël Traoré,-21.958397,4.969987,0,Ligue 1,34,90% right footed
DF,Miguel Trauco,10.01824,-0.59525955,2,Ligue 1,28,94% left footed
DF,Christopher Trimmel,14.637819,-9.725516,2,Bundesliga,34,87% right footed
DF,Kieran Trippier,-0.05438178,13.805357,3,La Liga,30,93% right footed
DF,William Troost-Ekong,-20.781298,1.0776112,0,Premier League,27,87% right footed
DF,Adrien Truffert,27.151829,-3.09012,1,Ligue 1,19,87% left footed
DF,Tuta,-3.8289413,-0.08719706,0,Bundesliga,22,91% right footed
DF,Iyenoma Udogie,26.06339,5.0852757,2,Serie A,18,80% left footed
DF,Matthieu Udol,4.8087416,-7.704427,2,Ligue 1,25,80% left footed
DF,Dayot Upamecano,-5.4232907,13.555684,3,Bundesliga,22,88% right footed
DF,Martin Valjent,-20.90802,0.9817476,0,La Liga,25,75% right footed
DF,Virgil van Dijk,-18.841427,13.783033,3,Premier League,30,84% right footed
DF,Zinho Vanheusden,-14.0479555,-1.5283486,0,Serie A,22,90% right footed
DF,Raphaël Varane,-16.172163,11.13205,3,Premier League,28,56% right footed
DF,Johan Vásquez,-5.45965,-5.57649,0,Serie A,22,85% left footed
DF,Kevin Vázquez,7.247325,-5.4840474,2,La Liga,28,91% right footed
DF,Lucas Vázquez,23.222694,-8.01003,1,La Liga,30,90% right footed
DF,Joël Veltman,-6.3681874,-0.8280469,0,Premier League,29,82% right footed
DF,Lorenzo Venuti,5.338502,8.27123,3,Serie A,26,88% right footed
DF,Gonzalo Verdú,-19.80104,2.541212,0,La Liga,32,94% right footed
DF,Rúben Vezo,-11.788526,3.3586009,0,La Liga,27,78% right footed
DF,Aleix Vidal,18.320843,-0.8863856,2,La Liga,31,91% right footed
DF,Nacho Vidal,8.507906,-3.6890547,2,La Liga,26,89% right footed
DF,Nick Viergever,-10.971328,-1.2838072,0,Bundesliga,31,87% left footed
DF,Matías Viña,11.909543,-9.3009815,2,Serie A,23,85% left footed
DF,Mattia Viti,-2.3412876,-4.507686,0,Serie A,19,78% left footed
DF,Daniel Vivian,-16.357895,-2.7656915,0,La Liga,22,87% right footed
DF,Kevin Vogt,-11.018929,15.273481,3,Bundesliga,29,94% right footed
DF,Mërgim Vojvoda,20.469381,-0.25626048,1,Serie A,26,92% right footed
DF,Stefan de Vrij,-14.107526,9.723728,3,Serie A,29,87% right footed
DF,Šime Vrsaljko,-2.9552124,-10.072371,2,La Liga,29,94% right footed
DF,Kyle Walker,4.870997,10.808411,3,Premier League,31,97% right footed
DF,Kyle Walker-Peters,23.246872,-2.750977,2,Premier League,24,88% right footed
DF,Aaron Wan-Bissaka,15.08537,-5.798982,2,Premier League,23,92% right footed
DF,Joel Ward,-11.081015,2.6906369,0,Premier League,31,90% right footed
DF,Adam Webster,-10.587897,13.0293455,3,Premier League,26,77% right footed
DF,Ben White,-15.30756,7.3669615,3,Premier League,23,90% right footed
DF,Silvan Widmer,11.726468,-4.758631,2,Bundesliga,28,86% right footed
DF,Jetro Willems,11.408066,1.0429182,2,Bundesliga,27,77% left footed
DF,Brandon Williams,10.751243,-1.6628975,2,Premier League,20,74% right footed
DF,Axel Witsel,-2.2611737,3.767713,2,Bundesliga,32,92% right footed
DF,Marius Wolf,28.976328,2.6668603,1,Bundesliga,26,93% right footed
DF,Christopher Wooh,-0.47249022,3.6854267,2,Ligue 1,19,89% right footed
DF,Granit Xhaka,24.350721,-5.444583,1,Premier League,28,86% left footed
DF,Maya Yoshida,-18.419464,4.7697,0,Serie A,32,81% right footed
DF,Ashley Young,15.051902,2.9319582,2,Premier League,36,77% right footed
DF,Dan-Axel Zagadou,-8.788919,12.336645,3,Bundesliga,22,88% left footed
